архивировать архивировано
архивный архивная
вестфальский вестфальский
германий германии германия
год года году
дата дата
евро евро
ес ес
жак жак
институт институты
интеграция интеграции
искать ищу
исследовательский исследовательский
источник источник
карлсруэ карлсруэ
код код
копия копия
лата лат
марта марта марте
машинный машинного
мая мая
миллион миллионов
направить направленный
начало начале
обращение обращения
объявить объявил
отказаться отказалась
официальный официальный
перевод перевода
поддержка поддержку
поисковый поисковые
править править
президент президент
примечание примечания
проект проект проекта проекте проектом
работа работы
размер размере
разработка разработку
распознавание распознавания
речь речи
сайт сайт
система системы
содержание содержание
ссылка ссылки
технический технический
технология технологий
университет университет
утвердить утвердил
участие участием участия
участник участники
финансовый финансовую
фирма фирмы
франция франции
французский французский
цель целью
ширак ширак
