австралийский австралийским
австралия австралия
альф альфа
английский английский
апорт апорт
архивный архивная
бета бета
быть была
великобритания великобритания
венгрия венгрия
версия версии версия
вестись ведутся
вопрос вопрос вопросы
восток восток
германий германия
год года
давать дает
далекий далека
дать данный
движок движка
демонстрировать демонстрирующая
детская детские
диалект диалекта
длить для
доктор доктором
дополнение дополнение
дополнять дополняет
доступный доступна
естественный естественного естественном
еще еще
закрытый закрыт
заниматься занимающаяся
запрос запросы
зеландия зеландия
израиль израиль
изюминка изюминкой
индий индия
источник источник
их их
китай китай
китайский китайского
ключевой ключевым
код код
компания компания
конечный конечно
копия копия
корея корея
лидер лидеры
мандаринский мандаринского
машина машина машины
механизм механизм
момент момент
наиболее наиболее
например например
научный научная
находиться находится
недоступный недоступна
несколько несколько
новый новая
норвегия норвегия
область области
обрабатывать обрабатывать
обработка обработки
общий общие
один один
октябрь октября
она она
основать основана
ответ ответ ответов ответы
открыть открытые
поддерживать поддерживает
поддержка поддержка
поиск поиск поиску
поисковый поисковая поискового поисковой поисковые
португалия португалия
править править
примечание примечания
принцип принципы
происхождение происхождения
работа работы
разработка разработке разработки разработкой
рамблер рамблер
ребенок дети
региональный региональные
релевантный релевантные
россия россия
свободный свободные
семейный семейный
сентябрь сентября
сидней сиднее
система система системы
словения словения
слово словам
совершенство совершенства
спутник спутник
ссылка ссылками ссылки
стандартный стандартному
стать стала
страница страницы
сша сша
такой такие
тематический тематические
технология технологии
уже уже
украина украина
уметь умеющая
филиппина филиппины
фраза фразам
чехия чехия
шанхай шанхае
швейцария швейцария
швеция швеция
эксперт экспертом
этот эта
являться являются
язык язык языка языке
январь января
яндекс яндекс
япония япония
